Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
G10_1_A_cluster_DBSCAN_round181_0	k__Bacteria (UID203)	5449	104	58	24.14	3.45	100.00	2540717	0	25	25	165979	165979	101628	101628	486381	486381	72.9	0.98	91.02	11	2183	87	15	2	0	0	0
G10_1_A_cluster_DBSCAN_round1_0	c__Alphaproteobacteria (UID3305)	564	349	230	94.45	81.59	8.91	16425329	0	1377	1377	22639	22639	11928	11928	960422	960422	63.0	10.04	88.32	11	16079	24	184	75	44	15	7
G10_1_A_cluster_DBSCAN_round1_10	f__Flavobacteriaceae (UID2817)	81	511	283	99.29	0.35	0.00	2892086	0	31	31	193370	193370	93293	93293	525726	525726	34.5	2.19	89.87	11	2644	2	508	1	0	0	0
G10_1_A_cluster_DBSCAN_round1_11	o__Lactobacillales (UID544)	293	473	265	99.25	0.13	100.00	3523496	0	32	32	255582	255582	110109	110109	498035	498035	42.7	1.44	88.53	11	3202	2	470	1	0	0	0
G10_1_A_cluster_DBSCAN_round1_13	o__Burkholderiales (UID4000)	193	427	214	98.60	0.00	0.00	6207666	0	76	76	135089	135089	81679	81679	458649	458649	67.5	1.19	91.11	11	5715	11	416	0	0	0	0
G10_1_A_cluster_DBSCAN_round1_14	o__Actinomycetales (UID1572)	580	286	171	92.98	2.05	0.00	4134284	0	34	34	171298	171298	121596	121596	416197	416197	68.9	0.63	91.41	11	3733	27	255	4	0	0	0
G10_1_A_cluster_DBSCAN_round1_15	c__Bacilli (UID284)	725	279	151	98.34	0.00	0.00	3156038	0	32	32	174624	174624	98626	98626	341233	341233	35.6	1.11	89.25	11	3068	3	276	0	0	0	0
G10_1_A_cluster_DBSCAN_round1_17	p__Actinobacteria (UID1454)	732	206	120	95.56	5.00	0.00	3587529	0	48	48	104618	104618	74740	74740	273167	273167	72.0	1.14	90.64	11	3277	8	189	9	0	0	0
G10_1_A_cluster_DBSCAN_round1_18	p__Bacteroidetes (UID2605)	350	316	210	99.37	0.60	50.00	4265755	0	59	59	142345	142345	72300	72300	223117	223117	37.2	2.02	88.93	11	3688	2	312	2	0	0	0
G10_1_A_cluster_DBSCAN_round1_19	c__Betaproteobacteria (UID3959)	235	419	211	97.70	1.07	0.00	4378834	0	245	245	28495	28495	17872	17872	127016	127016	60.3	2.78	90.71	11	4220	10	405	4	0	0	0
