Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
pH6_1_A_cluster_DBSCAN_round10_12	k__Bacteria (UID203)	5449	104	58	54.80	0.00	0.00	2393599	0	255	255	12325	12325	9386	9386	50813	50813	52.7	1.48	85.83	11	2534	63	41	0	0	0	0
pH6_1_A_cluster_DBSCAN_round10_24	k__Bacteria (UID203)	5449	104	58	31.03	3.45	0.00	867574	0	108	108	9783	9783	8033	8033	22334	22334	72.9	1.20	91.09	11	809	80	22	2	0	0	0
pH6_1_A_cluster_DBSCAN_round11_1	k__Bacteria (UID203)	5449	104	58	37.93	0.00	0.00	1412702	0	11	11	117191	117191	128427	128427	252332	252332	74.3	0.36	91.00	11	1269	80	24	0	0	0	0
pH6_1_A_cluster_DBSCAN_round12_2	k__Bacteria (UID203)	5449	104	58	32.76	1.72	100.00	1391914	0	44	44	53343	53343	31634	31634	211987	211987	38.1	1.18	87.74	11	1489	81	21	2	0	0	0
pH6_1_A_cluster_DBSCAN_round16_0	k__Bacteria (UID1453)	901	171	117	56.55	7.26	0.00	727269	0	23	23	53021	53021	31620	31620	107591	107591	49.0	1.19	91.98	11	749	80	82	9	0	0	0
pH6_1_A_cluster_DBSCAN_round17_0	k__Bacteria (UID203)	5449	104	58	30.56	0.00	0.00	332191	0	47	47	8223	8223	7067	7067	77540	77540	47.6	1.78	92.80	11	388	74	30	0	0	0	0
pH6_1_A_cluster_DBSCAN_round19_0	o__Lactobacillales (UID544)	293	473	265	4.08	0.00	0.00	99719	0	7	7	18121	18121	14245	14245	20471	20471	41.9	6.90	85.36	11	99	425	48	0	0	0	0
pH6_1_A_cluster_DBSCAN_round1_1	c__Alphaproteobacteria (UID3422)	26	529	308	100.00	0.32	0.00	3250612	0	11	11	457520	457520	295510	295510	793753	793753	67.6	0.80	90.64	11	3084	0	528	1	0	0	0
pH6_1_A_cluster_DBSCAN_round1_4	o__Actinomycetales (UID1572)	580	286	171	98.64	0.00	0.00	2946450	0	19	19	238581	238581	155076	155076	742489	742489	68.4	1.11	92.20	11	2764	5	281	0	0	0	0
pH6_1_A_cluster_DBSCAN_round1_5	f__Moraxellaceae (UID4680)	86	689	365	99.51	1.29	0.00	4445863	0	39	39	192790	192790	113996	113996	697193	697193	37.8	1.70	85.00	11	4071	27	655	7	0	0	0
pH6_1_A_cluster_DBSCAN_round1_6	o__Burkholderiales (UID4000)	193	427	214	99.07	0.00	0.00	6284704	0	64	64	150305	150305	98198	98198	354315	354315	67.6	1.05	91.17	11	5770	4	423	0	0	0	0
pH6_1_A_cluster_DBSCAN_round1_8	o__Actinomycetales (UID1593)	69	400	198	84.70	0.16	0.00	2792400	0	351	351	9437	9437	7955	7955	42103	42103	68.7	1.52	92.68	11	2806	60	338	2	0	0	0
pH6_1_A_cluster_DBSCAN_round2_2	o__Actinomycetales (UID1572)	580	286	171	98.25	2.05	0.00	4210584	0	20	20	391582	391582	210529	210529	789186	789186	68.9	0.69	91.39	11	3774	5	277	4	0	0	0
pH6_1_A_cluster_DBSCAN_round3_0	c__Alphaproteobacteria (UID3305)	564	349	230	96.07	64.17	4.89	14212502	0	1137	1137	34019	34019	12500	12500	1157989	1157989	60.6	10.37	88.02	11	13914	17	212	75	27	10	8
pH6_1_A_cluster_DBSCAN_round47_0	k__Bacteria (UID203)	5449	104	58	51.72	0.00	0.00	3427699	0	40	40	143367	143367	85692	85692	551780	551780	75.9	1.35	91.01	11	3065	71	33	0	0	0	0
pH6_1_A_cluster_DBSCAN_round48_7	k__Bacteria (UID203)	5449	104	58	29.66	4.02	100.00	1089078	0	70	70	17131	17131	15558	15558	33251	33251	75.6	0.91	91.53	11	1073	80	21	3	0	0	0
pH6_1_A_cluster_DBSCAN_round49_6	k__Bacteria (UID203)	5449	104	58	26.33	1.72	100.00	1647539	0	38	38	44244	44244	43356	43356	82998	82998	76.1	0.70	91.96	11	1496	78	25	1	0	0	0
pH6_1_A_cluster_DBSCAN_round4_0	c__Bacilli (UID285)	586	325	181	99.45	0.28	0.00	3630170	0	47	47	218711	218711	77237	77237	955399	955399	32.4	1.97	88.96	11	3586	1	323	1	0	0	0
pH6_1_A_cluster_DBSCAN_round4_16	f__Enterobacteriaceae (UID5124)	134	1173	336	0.74	0.00	0.00	31198	0	2	2	26298	26298	15599	15599	26298	26298	50.7	0.41	89.20	11	55	1128	45	0	0	0	0
pH6_1_A_cluster_DBSCAN_round4_9	f__Flavobacteriaceae (UID2817)	81	511	283	99.29	0.35	0.00	2899594	0	41	41	129472	129472	70721	70721	388251	388251	34.5	2.18	89.86	11	2663	2	508	1	0	0	0
pH6_1_A_cluster_DBSCAN_round5_0	c__Betaproteobacteria (UID3959)	235	419	211	100.00	0.05	0.00	4206149	0	8	8	880267	880267	525768	525768	944924	944924	56.7	0.69	89.75	11	3791	0	417	2	0	0	0
pH6_1_A_cluster_DBSCAN_round5_10	c__Bacilli (UID284)	725	279	151	98.28	0.00	0.00	3117885	0	30	30	174624	174624	103929	103929	296180	296180	35.7	1.22	89.21	11	3047	6	273	0	0	0	0
pH6_1_A_cluster_DBSCAN_round5_11	o__Actinomycetales (UID1572)	580	287	173	99.42	2.31	20.00	3853442	0	86	86	91103	91103	44807	44807	226649	226649	59.7	1.79	87.92	11	3418	1	283	2	1	0	0
pH6_1_A_cluster_DBSCAN_round5_15	c__Betaproteobacteria (UID3959)	235	419	211	95.97	0.53	0.00	4215385	0	234	234	27806	27806	18014	18014	136082	136082	60.7	2.03	91.03	11	4069	20	395	3	1	0	0
pH6_1_A_cluster_DBSCAN_round5_17	f__Micrococcaceae (UID1623)	39	457	218	88.70	7.26	92.31	3649671	0	320	320	16080	16080	11405	11405	109527	109527	66.6	1.42	90.77	11	3520	38	393	26	0	0	0
pH6_1_A_cluster_DBSCAN_round5_20	o__Rhizobiales (UID3450)	238	513	244	81.90	4.70	24.00	3504682	0	439	439	9554	9554	7983	7983	57459	57459	66.2	3.13	90.06	11	3715	109	381	22	1	0	0
pH6_1_A_cluster_DBSCAN_round5_6	o__Lactobacillales (UID544)	293	473	265	98.55	0.13	0.00	3510038	0	46	46	193487	193487	76305	76305	498228	498228	42.7	1.58	88.62	11	3199	30	442	1	0	0	0
pH6_1_A_cluster_DBSCAN_round5_8	o__Lactobacillales (UID375)	177	350	163	98.77	4.45	100.00	1774354	0	13	13	443211	443211	136488	136488	446759	446759	36.4	0.74	88.49	11	1673	2	337	11	0	0	0
pH6_1_A_cluster_DBSCAN_round5_9	p__Bacteroidetes (UID2605)	350	316	210	98.41	0.48	0.00	4286330	0	39	39	151222	151222	109905	109905	324682	324682	37.1	1.64	89.11	11	3726	4	311	1	0	0	0
pH6_1_A_cluster_DBSCAN_round6_1	f__Enterobacteriaceae (UID5124)	134	1173	336	98.70	0.26	0.00	4702468	0	26	26	362203	362203	180864	180864	753192	753192	55.1	0.89	89.72	11	4349	43	1127	3	0	0	0
pH6_1_A_cluster_DBSCAN_round6_15	f__Enterobacteriaceae (UID5066)	55	546	224	89.84	0.30	50.00	4359511	0	314	314	19621	19621	13883	13883	90252	90252	60.2	2.27	88.69	11	4246	94	448	4	0	0	0
pH6_1_A_cluster_DBSCAN_round6_27	o__Actinomycetales (UID1572)	580	286	171	2.92	0.00	0.00	29742	0	1	1	29742	29742	29742	29742	29742	29742	70.2	0.00	87.55	11	39	256	30	0	0	0	0
pH6_1_A_cluster_DBSCAN_round6_34	k__Bacteria (UID203)	5449	104	58	31.03	0.00	0.00	1899752	0	332	332	6187	6187	5722	5722	23920	23920	58.2	1.35	89.68	11	1985	83	21	0	0	0	0
pH6_1_A_cluster_DBSCAN_round6_4	o__Lactobacillales (UID544)	293	475	267	69.23	4.34	18.75	3091604	0	19	19	269447	269447	162716	162716	536640	536640	42.5	1.50	87.49	11	3005	133	328	13	1	0	0
pH6_1_A_cluster_DBSCAN_round6_6	o__Actinomycetales (UID1809)	267	400	222	88.96	0.56	0.00	3309243	0	29	29	213932	213932	114111	114111	474272	474272	67.5	0.63	90.93	11	3022	41	357	2	0	0	0
pH6_1_A_cluster_DBSCAN_round6_7	o__Actinomycetales (UID1809)	267	400	222	98.75	10.00	23.68	3522652	0	85	85	100030	100030	41442	41442	257720	257720	69.0	2.09	89.85	11	3338	5	357	38	0	0	0
pH6_1_A_cluster_DBSCAN_round7_0	p__Bacteroidetes (UID2605)	350	316	210	99.84	4.31	27.27	6809047	0	40	40	402625	402625	170226	170226	810514	810514	39.8	1.37	89.15	11	5819	1	304	11	0	0	0
pH6_1_A_cluster_DBSCAN_round7_13	p__Actinobacteria (UID1454)	732	206	120	55.19	0.00	0.00	2052598	0	69	69	30204	30204	29747	29747	87909	87909	72.2	1.09	91.13	11	1924	76	130	0	0	0	0
pH6_1_A_cluster_DBSCAN_round7_14	root (UID1)	5656	56	24	16.67	0.00	0.00	1652881	0	100	100	20134	20134	16528	16528	79378	79378	54.3	0.73	90.34	11	1590	52	4	0	0	0	0
pH6_1_A_cluster_DBSCAN_round7_31	k__Bacteria (UID203)	5449	104	58	34.40	0.00	0.00	1359060	0	264	264	5462	5462	5147	5147	31258	31258	43.0	1.40	90.35	11	1361	77	27	0	0	0	0
pH6_1_A_cluster_DBSCAN_round7_52	k__Bacteria (UID1453)	901	171	117	5.56	0.00	0.00	29912	0	3	3	17491	17491	9970	9970	17491	17491	48.7	0.59	91.42	11	39	138	33	0	0	0	0
pH6_1_A_cluster_DBSCAN_round7_71	o__Actinomycetales (UID1572)	580	288	173	3.30	0.40	0.00	58444	0	6	6	9943	9943	9740	9740	11447	11447	70.3	1.27	90.14	11	57	253	32	3	0	0	0
pH6_1_A_cluster_DBSCAN_round8_0	root (UID1)	5656	56	24	4.17	0.00	0.00	2181130	0	9	9	574203	574203	242347	242347	625010	625010	75.4	0.40	90.73	11	1971	55	1	0	0	0	0
pH6_1_A_cluster_DBSCAN_round8_1	root (UID1)	5656	56	24	20.83	0.00	0.00	1464317	0	4	4	428777	428777	366079	366079	595905	595905	74.4	0.24	91.23	11	1360	51	5	0	0	0	0
pH6_1_A_cluster_DBSCAN_round8_2	o__Actinomycetales (UID1572)	580	286	171	83.04	5.20	84.62	5321713	0	19	19	318254	318254	280090	280090	554547	554547	72.7	0.44	91.44	11	4755	78	195	13	0	0	0
pH6_1_A_cluster_DBSCAN_round8_4	k__Bacteria (UID203)	5449	104	58	34.48	0.00	0.00	796991	0	7	7	486896	486896	113855	113855	486896	486896	40.0	0.36	89.14	11	742	82	22	0	0	0	0
pH6_1_A_cluster_DBSCAN_round8_5	k__Bacteria (UID203)	5449	104	58	36.78	0.00	0.00	2931853	0	27	27	181599	181599	108587	108587	271507	271507	39.3	0.71	86.80	11	2877	79	25	0	0	0	0
pH6_1_A_cluster_DBSCAN_round8_9	k__Bacteria (UID203)	5449	104	58	40.00	0.00	0.00	1734482	0	15	15	134186	134186	115632	115632	200933	200933	73.5	0.51	91.03	11	1563	78	26	0	0	0	0
pH6_1_A_cluster_DBSCAN_round9_6	k__Bacteria (UID203)	5449	104	58	33.62	0.00	0.00	1085354	0	31	31	41793	41793	35011	35011	76100	76100	73.6	0.84	91.20	11	948	82	22	0	0	0	0
pH6_1_B_cluster_DBSCAN_round12_12	c__Alphaproteobacteria (UID3305)	564	349	230	1.39	0.00	0.00	25626	0	3	3	14644	14644	8542	8542	14644	14644	50.9	0.95	87.56	11	36	309	40	0	0	0	0
pH6_1_B_cluster_DBSCAN_round152_0	o__Lactobacillales (UID544)	293	475	267	59.31	1.07	0.00	2320390	0	176	176	18740	18740	13184	13184	82584	82584	39.1	2.38	87.25	11	2281	202	267	6	0	0	0
pH6_1_B_cluster_DBSCAN_round179_5	k__Bacteria (UID203)	5449	104	58	31.95	0.00	0.00	2540263	0	248	248	13996	13996	10242	10242	42070	42070	76.3	1.33	91.97	11	2534	82	22	0	0	0	0
pH6_1_B_cluster_DBSCAN_round1_1	f__Moraxellaceae (UID4680)	86	689	365	99.50	1.29	0.00	4448785	0	40	40	162725	162725	111219	111219	697193	697193	37.8	1.67	85.00	11	4073	34	648	7	0	0	0
