Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
pH8_1_A_cluster_DBSCAN_round10_9	k__Bacteria (UID203)	5449	102	57	28.39	1.75	100.00	527050	0	33	33	16647	16647	15971	15971	34875	34875	68.1	0.90	92.08	11	490	81	20	1	0	0	0
pH8_1_A_cluster_DBSCAN_round124_4	o__Actinomycetales (UID1572)	580	288	173	32.77	6.17	17.65	2259118	0	502	502	4419	4419	4500	4500	11399	11399	76.2	2.47	91.40	11	2306	201	75	11	0	1	0
pH8_1_A_cluster_DBSCAN_round1_0	c__Alphaproteobacteria (UID3305)	564	349	230	96.13	35.72	3.70	11588344	0	955	955	23088	23088	12134	12134	1398823	1398823	60.2	12.43	88.08	11	11482	26	240	60	21	2	0
pH8_1_A_cluster_DBSCAN_round1_1	c__Alphaproteobacteria (UID3422)	26	529	308	100.00	0.32	0.00	3252094	0	10	10	889184	889184	325209	325209	1005387	1005387	67.6	0.82	90.63	11	3081	0	528	1	0	0	0
pH8_1_A_cluster_DBSCAN_round1_10	f__Moraxellaceae (UID4680)	86	689	365	99.07	1.57	11.11	4486426	0	58	58	133571	133571	77352	77352	284042	284042	37.8	2.02	84.99	11	4151	41	639	9	0	0	0
pH8_1_A_cluster_DBSCAN_round1_4	k__Bacteria (UID1453)	901	171	117	64.67	3.59	20.00	881435	0	20	20	814383	814383	44071	44071	814383	814383	48.2	1.99	91.29	11	905	48	118	5	0	0	0
pH8_1_A_cluster_DBSCAN_round1_6	f__Flavobacteriaceae (UID2817)	81	511	283	99.29	0.35	0.00	2884707	0	25	25	193485	193485	115388	115388	594690	594690	34.5	2.17	89.80	11	2635	2	508	1	0	0	0
pH8_1_A_cluster_DBSCAN_round1_7	p__Bacteroidetes (UID2605)	350	316	210	95.56	0.95	50.00	4238381	0	25	25	301867	301867	169535	169535	549003	549003	37.1	1.34	89.02	11	3682	12	302	2	0	0	0
pH8_1_A_cluster_DBSCAN_round242_15	c__Alphaproteobacteria (UID3305)	564	349	230	2.41	0.43	100.00	27893	0	3	3	17189	17189	9297	9297	17189	17189	52.1	2.24	89.58	11	34	313	34	2	0	0	0
pH8_1_A_cluster_DBSCAN_round2_0	c__Betaproteobacteria (UID3959)	235	419	211	100.00	0.05	0.00	4212324	0	15	15	553015	553015	280821	280821	944936	944936	56.7	1.49	89.74	11	3801	0	417	2	0	0	0
pH8_1_A_cluster_DBSCAN_round2_3	f__Enterobacteriaceae (UID5066)	55	546	224	95.50	0.00	0.00	4988850	0	32	32	295252	295252	155901	155901	485734	485734	59.5	2.14	88.18	11	4573	61	485	0	0	0	0
pH8_1_A_cluster_DBSCAN_round2_6	c__Betaproteobacteria (UID3959)	235	419	211	99.01	1.61	11.11	4781124	0	205	205	40651	40651	23322	23322	139643	139643	60.0	3.83	90.07	11	4577	20	390	9	0	0	0
pH8_1_A_cluster_DBSCAN_round3_1	p__Bacteroidetes (UID2605)	350	316	210	99.84	1.93	0.00	6426807	0	13	13	721220	721220	494369	494369	888655	888655	39.7	0.58	89.15	11	5481	1	310	5	0	0	0
pH8_1_A_cluster_DBSCAN_round3_11	o__Burkholderiales (UID4000)	193	427	214	6.54	0.00	0.00	237008	0	4	4	192706	192706	59252	59252	192706	192706	65.3	1.28	91.36	11	244	383	44	0	0	0	0
pH8_1_A_cluster_DBSCAN_round3_2	f__Enterobacteriaceae (UID5124)	134	1173	336	99.00	1.48	3.45	4838208	0	19	19	299411	299411	254642	254642	753192	753192	55.0	0.42	89.55	11	4508	8	1136	29	0	0	0
